xflr5 v6.47

Kea Atmos
T4-2.0°-VLM2
QInf  =   20.000000 m/s
Alpha =    2.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.834569
Cy    =   -0.000000
Cd    =    0.023658     ICd   =    0.012528     PCd   =    0.011131
Cl   = 3.47646e-17
Cm   =   -0.124199
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.600947     YCP   =   -0.000000     ZCP   =    0.096805  
XNP   =    0.000000
Bending =   12.813120

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
    0.0474     0.2200    -0.474    0.043391    0.007538    0.000359   -0.225290   -0.000645     0.9948    1.0000    0.2681   20.8276
    0.0789     0.2200    -0.468    0.042772    0.007536    0.000349   -0.221572   -0.000622     0.9948    1.0000    0.2677   18.5023
    0.1105     0.2200    -0.466    0.042142    0.007534    0.000343   -0.217785   -0.000586     0.9949    1.0000    0.2670   16.3217
    0.1421     0.2200    -0.466    0.041523    0.007532    0.000338   -0.214047   -0.000546     0.9950    1.0000    0.2661   14.2862
    0.1737     0.2200    -0.467    0.040904    0.007530    0.000334   -0.210301   -0.000505     0.9951    1.0000    0.2651   12.3853
    0.2053     0.2200    -0.470    0.040269    0.007528    0.000330   -0.206475   -0.000463     0.9951    1.0000    0.2640   10.6192
    0.2368     0.2200    -0.473    0.039601    0.007526    0.000327   -0.202473   -0.000422     0.9952    1.0000    0.2630    8.9881
    0.2684     0.2200    -0.477    0.038878    0.007523    0.000324   -0.198185   -0.000378     0.9953    1.0000    0.2619    7.4922
    0.3000     0.2200    -0.482    0.038076    0.007520    0.000320   -0.193483   -0.000332     0.9954    1.0000    0.2606    6.1316
    0.3316     0.2200    -0.488    0.037164    0.007517    0.000316   -0.188208   -0.000281     0.9955    1.0000    0.2592    4.9065
    0.3632     0.2200    -0.494    0.036105    0.007514    0.000311   -0.182164   -0.000223     0.9956    1.0000    0.2575    3.8171
    0.3947     0.2200    -0.501    0.034849    0.007509    0.000305   -0.175096   -0.000157     0.9958    1.0000    0.2555    2.8635
    0.4263     0.2200    -0.509    0.033331    0.007504    0.000296   -0.166658   -0.000080     0.9960    1.0000    0.2529    2.0458
    0.4579     0.2200    -0.519    0.031456    0.007498    0.000285   -0.156360    0.000010     0.9962    1.0000    0.2496    1.3641
    0.4895     0.2200    -0.529    0.029082    0.007490    0.000269   -0.143469    0.000112     0.9965    1.0000    0.2453    0.8186
    0.5211     0.2200    -0.541    0.025977    0.007479    0.000245   -0.126783    0.000225     0.9969    1.0000    0.2394    0.4094
    0.5526     0.2200    -0.554    0.021698    0.007465    0.000210   -0.104032    0.000331     0.9974    1.0000    0.2314    0.1365
    0.5842     0.2200    -0.569    0.015135    0.007442    0.000150   -0.069529    0.000376     0.9982    1.0000    0.2197    0.0000


Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
   0       7.489e-01      -2.913e+00       2.675e-01           0.284           0.150           0.947       3.063e-04          0.3611
   1       7.424e-01      -2.912e+00       2.693e-01           0.248           0.152           0.957       8.918e-04          0.5243
   2       7.277e-01      -2.912e+00       2.726e-01           0.178           0.154           0.972       1.406e-03          0.5116
   3       7.055e-01      -2.911e+00       2.763e-01           0.132           0.155           0.979       1.839e-03          0.5054
   4       6.772e-01      -2.911e+00       2.797e-01           0.091           0.156           0.984       2.165e-03          0.5155
   5       6.444e-01      -2.910e+00       2.822e-01           0.043           0.156           0.987       2.366e-03          0.4906
   6       6.090e-01      -2.910e+00       2.833e-01          -0.000           0.156           0.988       2.435e-03          0.4566
   7       5.731e-01      -2.910e+00       2.830e-01          -0.036           0.156           0.987       2.366e-03          0.4494
   8       5.388e-01      -2.910e+00       2.815e-01          -0.078           0.156           0.985       2.163e-03          0.4291
   9       5.080e-01      -2.911e+00       2.788e-01          -0.124           0.155           0.980       1.837e-03          0.3778
  10       4.826e-01      -2.911e+00       2.753e-01          -0.182           0.154           0.971       1.407e-03          0.2309
  11       4.640e-01      -2.912e+00       2.716e-01          -0.263           0.151           0.953       8.954e-04         -0.2442
  12       4.533e-01      -2.912e+00       2.687e-01          -0.345           0.147           0.927       3.129e-04         -1.6064
Strip 2
  13       7.489e-01      -2.846e+00       2.570e-01           0.284           0.150           0.947       3.063e-04          0.3998
  14       7.424e-01      -2.846e+00       2.587e-01           0.248           0.152           0.957       8.918e-04          0.5969
  15       7.277e-01      -2.845e+00       2.621e-01           0.178           0.154           0.972       1.406e-03          0.6203
  16       7.055e-01      -2.845e+00       2.657e-01           0.132           0.155           0.979       1.839e-03          0.6422
  17       6.772e-01      -2.844e+00       2.691e-01           0.091           0.156           0.984       2.165e-03          0.6698
  18       6.444e-01      -2.844e+00       2.717e-01           0.043           0.156           0.987       2.366e-03          0.6515
  19       6.090e-01      -2.844e+00       2.728e-01          -0.000           0.156           0.988       2.435e-03          0.6147
  20       5.731e-01      -2.844e+00       2.725e-01          -0.036           0.156           0.987       2.366e-03          0.5976
  21       5.388e-01      -2.844e+00       2.709e-01          -0.078           0.156           0.985       2.163e-03          0.5603
  22       5.080e-01      -2.844e+00       2.682e-01          -0.124           0.155           0.980       1.837e-03          0.4888
  23       4.826e-01      -2.845e+00       2.648e-01          -0.182           0.154           0.971       1.407e-03          0.3310
  24       4.640e-01      -2.845e+00       2.611e-01          -0.263           0.151           0.953       8.954e-04         -0.1223
  25       4.533e-01      -2.846e+00       2.581e-01          -0.345           0.147           0.927       3.129e-04         -1.3488
Strip 3
  26       7.489e-01      -2.779e+00       2.464e-01           0.284           0.150           0.947       3.063e-04          0.4164
  27       7.424e-01      -2.779e+00       2.482e-01           0.248           0.152           0.957       8.918e-04          0.6276
  28       7.277e-01      -2.779e+00       2.516e-01           0.178           0.154           0.972       1.406e-03          0.6672
  29       7.055e-01      -2.778e+00       2.552e-01           0.132           0.155           0.979       1.839e-03          0.7037
  30       6.772e-01      -2.778e+00       2.586e-01           0.091           0.156           0.984       2.165e-03          0.7429
  31       6.444e-01      -2.777e+00       2.611e-01           0.043           0.156           0.987       2.366e-03          0.7315
  32       6.090e-01      -2.777e+00       2.623e-01          -0.000           0.156           0.988       2.435e-03          0.6969
  33       5.731e-01      -2.777e+00       2.619e-01          -0.036           0.156           0.987       2.366e-03          0.6783
  34       5.388e-01      -2.777e+00       2.604e-01          -0.078           0.156           0.985       2.163e-03          0.6386
  35       5.080e-01      -2.778e+00       2.577e-01          -0.124           0.155           0.980       1.837e-03          0.5678
  36       4.826e-01      -2.778e+00       2.542e-01          -0.182           0.154           0.971       1.407e-03          0.4208
  37       4.640e-01      -2.779e+00       2.506e-01          -0.263           0.151           0.953       8.954e-04          0.0052
  38       4.533e-01      -2.779e+00       2.476e-01          -0.345           0.147           0.927       3.129e-04         -1.0666
Strip 4
  39       7.489e-01      -2.713e+00       2.359e-01           0.284           0.150           0.947       3.063e-04          0.4257
  40       7.424e-01      -2.713e+00       2.377e-01           0.248           0.152           0.957       8.918e-04          0.6446
  41       7.277e-01      -2.712e+00       2.410e-01           0.178           0.154           0.972       1.406e-03          0.6931
  42       7.055e-01      -2.712e+00       2.447e-01           0.132           0.155           0.979       1.839e-03          0.7382
  43       6.772e-01      -2.711e+00       2.481e-01           0.091           0.156           0.984       2.165e-03          0.7847
  44       6.444e-01      -2.711e+00       2.506e-01           0.043           0.156           0.987       2.366e-03          0.7787
  45       6.090e-01      -2.711e+00       2.517e-01          -0.000           0.156           0.988       2.435e-03          0.7475
  46       5.731e-01      -2.711e+00       2.514e-01          -0.036           0.156           0.987       2.366e-03          0.7310
  47       5.388e-01      -2.711e+00       2.499e-01          -0.078           0.156           0.985       2.163e-03          0.6936
  48       5.080e-01      -2.711e+00       2.472e-01          -0.124           0.155           0.980       1.837e-03          0.6281
  49       4.826e-01      -2.712e+00       2.437e-01          -0.182           0.154           0.971       1.407e-03          0.4942
  50       4.640e-01      -2.712e+00       2.400e-01          -0.263           0.151           0.953       8.954e-04          0.1134
  51       4.533e-01      -2.713e+00       2.370e-01          -0.345           0.147           0.927       3.129e-04         -0.8240
Strip 5
  52       7.489e-01      -2.646e+00       2.254e-01           0.284           0.150           0.947       3.063e-04          0.4316
  53       7.424e-01      -2.646e+00       2.271e-01           0.248           0.152           0.957       8.918e-04          0.6554
  54       7.277e-01      -2.646e+00       2.305e-01           0.178           0.154           0.972       1.406e-03          0.7096
  55       7.055e-01      -2.645e+00       2.341e-01           0.132           0.155           0.979       1.839e-03          0.7602
  56       6.772e-01      -2.645e+00       2.375e-01           0.091           0.156           0.984       2.165e-03          0.8116
  57       6.444e-01      -2.644e+00       2.401e-01           0.043           0.156           0.987       2.366e-03          0.8099
  58       6.090e-01      -2.644e+00       2.412e-01          -0.000           0.156           0.988       2.435e-03          0.7820
  59       5.731e-01      -2.644e+00       2.409e-01          -0.036           0.156           0.987       2.366e-03          0.7685
  60       5.388e-01      -2.644e+00       2.393e-01          -0.078           0.156           0.985       2.163e-03          0.7347
  61       5.080e-01      -2.645e+00       2.366e-01          -0.124           0.155           0.980       1.837e-03          0.6752
  62       4.826e-01      -2.645e+00       2.332e-01          -0.182           0.154           0.971       1.407e-03          0.5533
